"citizen","time","value"
"Iraq",2013-03-01,700
"Iraq",2013-04-01,720
"Iraq",2013-05-01,585
"Iraq",2013-06-01,665
"Iraq",2013-07-01,835
"Iraq",2013-08-01,765
"Iraq",2013-09-01,900
"Iraq",2013-10-01,995
"Iraq",2013-11-01,815
"Iraq",2013-12-01,660
"Iraq",2014-01-01,875
"Iraq",2014-02-01,875
"Iraq",2014-03-01,790
"Iraq",2014-04-01,830
"Iraq",2014-05-01,805
"Iraq",2014-06-01,875
"Iraq",2014-07-01,1080
"Iraq",2014-08-01,1280
"Iraq",2014-09-01,1820
"Iraq",2014-10-01,2085
"Iraq",2014-11-01,2080
"Iraq",2014-12-01,1895
"Iraq",2015-01-01,2220
"Iraq",2015-02-01,2300
"Iraq",2015-03-01,2900
"Iraq",2015-04-01,3380
"Iraq",2015-05-01,4490
"Iraq",2015-06-01,6180
"Iraq",2015-07-01,7940
"Iraq",2015-08-01,11790
"Iraq",2015-09-01,25900
"Kosovo",2008-01-01,5
"Kosovo",2008-02-01,0
"Kosovo",2008-03-01,5
"Kosovo",2008-04-01,30
"Kosovo",2008-05-01,40
"Kosovo",2008-06-01,40
"Kosovo",2008-07-01,25
"Kosovo",2008-08-01,45
"Kosovo",2008-09-01,25
"Kosovo",2008-10-01,30
"Kosovo",2008-11-01,25
"Kosovo",2008-12-01,0
"Kosovo",2009-01-01,740
"Kosovo",2009-02-01,750
"Kosovo",2009-03-01,850
"Kosovo",2009-04-01,795
"Kosovo",2009-05-01,690
"Kosovo",2009-06-01,825
"Kosovo",2009-07-01,850
"Kosovo",2009-08-01,825
"Kosovo",2009-09-01,905
"Kosovo",2009-10-01,1240
"Kosovo",2009-11-01,1130
"Kosovo",2009-12-01,1045
"Kosovo",2010-01-01,730
"Kosovo",2010-02-01,910
"Kosovo",2010-03-01,1125
"Kosovo",2010-04-01,970
"Kosovo",2010-05-01,795
"Kosovo",2010-06-01,830
"Kosovo",2010-07-01,805
"Kosovo",2010-08-01,1020
"Kosovo",2010-09-01,1265
"Kosovo",2010-10-01,1430
"Kosovo",2010-11-01,1435
"Kosovo",2010-12-01,1305
"Kosovo",2011-01-01,925
"Kosovo",2011-02-01,890
"Kosovo",2011-03-01,1020
"Kosovo",2011-04-01,850
"Kosovo",2011-05-01,740
"Kosovo",2011-06-01,495
"Kosovo",2011-07-01,425
"Kosovo",2011-08-01,480
"Kosovo",2011-09-01,550
"Kosovo",2011-10-01,585
"Kosovo",2011-11-01,630
"Kosovo",2011-12-01,630
"Kosovo",2012-01-01,515
"Kosovo",2012-02-01,430
"Kosovo",2012-03-01,510
"Kosovo",2012-04-01,395
"Kosovo",2012-05-01,445
"Kosovo",2012-06-01,515
"Kosovo",2012-07-01,615
"Kosovo",2012-08-01,595
"Kosovo",2012-09-01,805
"Kosovo",2012-10-01,1100
"Kosovo",2012-11-01,990
"Kosovo",2012-12-01,850
"Kosovo",2013-01-01,880
"Kosovo",2013-02-01,920
"Kosovo",2013-03-01,1035
"Kosovo",2013-04-01,1610
"Kosovo",2013-05-01,2535
"Kosovo",2013-06-01,3265
"Kosovo",2013-07-01,2000
"Kosovo",2013-08-01,1260
"Kosovo",2013-09-01,1240
"Kosovo",2013-10-01,1100
"Kosovo",2013-11-01,1035
"Kosovo",2013-12-01,885
"Kosovo",2014-01-01,960
"Kosovo",2014-02-01,825
"Kosovo",2014-03-01,785
"Kosovo",2014-04-01,715
"Kosovo",2014-05-01,690
"Kosovo",2014-06-01,745
"Kosovo",2014-07-01,1050
"Kosovo",2014-08-01,1310
"Kosovo",2014-09-01,3195
"Kosovo",2014-10-01,3605
"Kosovo",2014-11-01,7555
"Kosovo",2014-12-01,13160
"Kosovo",2015-01-01,13995
"Kosovo",2015-02-01,22575
"Kosovo",2015-03-01,12625
"Kosovo",2015-04-01,5365
"Kosovo",2015-05-01,2585
"Kosovo",2015-06-01,2240
"Kosovo",2015-07-01,1915
"Kosovo",2015-08-01,1270
"Kosovo",2015-09-01,1425
"Nigeria",2008-01-01,485
"Nigeria",2008-02-01,500
"Nigeria",2008-03-01,610
"Nigeria",2008-04-01,595
"Nigeria",2008-05-01,725
"Nigeria",2008-06-01,780
"Nigeria",2008-07-01,1245
"Nigeria",2008-08-01,985
"Nigeria",2008-09-01,1170
"Nigeria",2008-10-01,1240
"Nigeria",2008-11-01,1130
"Nigeria",2008-12-01,925
"Nigeria",2009-01-01,1045
"Nigeria",2009-02-01,875
"Nigeria",2009-03-01,850
"Nigeria",2009-04-01,1200
"Nigeria",2009-05-01,1045
"Nigeria",2009-06-01,885
"Nigeria",2009-07-01,775
"Nigeria",2009-08-01,670
"Nigeria",2009-09-01,650
"Nigeria",2009-10-01,675
"Nigeria",2009-11-01,775
"Nigeria",2009-12-01,605
"Nigeria",2010-01-01,575
"Nigeria",2010-02-01,595
"Nigeria",2010-03-01,755
"Nigeria",2010-04-01,595
"Nigeria",2010-05-01,620
"Nigeria",2010-06-01,575
"Nigeria",2010-07-01,560
"Nigeria",2010-08-01,540
"Nigeria",2010-09-01,610
"Nigeria",2010-10-01,695
"Nigeria",2010-11-01,695
"Nigeria",2010-12-01,565
"Nigeria",2011-01-01,580
"Nigeria",2011-02-01,560
"Nigeria",2011-03-01,675
"Nigeria",2011-04-01,685
"Nigeria",2011-05-01,1885
"Nigeria",2011-06-01,1855
"Nigeria",2011-07-01,1420
"Nigeria",2011-08-01,1525
"Nigeria",2011-09-01,1625
"Nigeria",2011-10-01,1295
"Nigeria",2011-11-01,1025
"Nigeria",2011-12-01,635
"Nigeria",2012-01-01,695
"Nigeria",2012-02-01,635
"Nigeria",2012-03-01,715
"Nigeria",2012-04-01,670
"Nigeria",2012-05-01,755
"Nigeria",2012-06-01,715
"Nigeria",2012-07-01,835
"Nigeria",2012-08-01,930
"Nigeria",2012-09-01,765
"Nigeria",2012-10-01,1030
"Nigeria",2012-11-01,960
"Nigeria",2012-12-01,710
"Nigeria",2013-01-01,915
"Nigeria",2013-02-01,885
"Nigeria",2013-03-01,1070
"Nigeria",2013-04-01,1095
"Nigeria",2013-05-01,830
"Nigeria",2013-06-01,895
"Nigeria",2013-07-01,1020
"Nigeria",2013-08-01,1110
"Nigeria",2013-09-01,1110
"Nigeria",2013-10-01,1480
"Nigeria",2013-11-01,990
"Nigeria",2013-12-01,875
"Nigeria",2014-01-01,1170
"Nigeria",2014-02-01,975
"Nigeria",2014-03-01,1230
"Nigeria",2014-04-01,1385
"Nigeria",2014-05-01,1650
"Nigeria",2014-06-01,1720
"Nigeria",2014-07-01,2120
"Nigeria",2014-08-01,1765
"Nigeria",2014-09-01,2055
"Nigeria",2014-10-01,2450
"Nigeria",2014-11-01,1750
"Nigeria",2014-12-01,1785
"Nigeria",2015-01-01,1535
"Nigeria",2015-02-01,1495
"Nigeria",2015-03-01,1435
"Nigeria",2015-04-01,1525
"Nigeria",2015-05-01,2210
"Nigeria",2015-06-01,2640
"Nigeria",2015-07-01,3665
"Nigeria",2015-08-01,3660
"Nigeria",2015-09-01,4085
"Other countries",2008-01-01,4995
"Other countries",2008-02-01,4935
"Other countries",2008-03-01,4940
"Other countries",2008-04-01,5275
"Other countries",2008-05-01,5100
"Other countries",2008-06-01,5355
"Other countries",2008-07-01,6380
"Other countries",2008-08-01,5930
"Other countries",2008-09-01,6430
"Other countries",2008-10-01,6200
